vehicle_id,vehicle_type,speed,frame_number,timestamp
305,car,0,196,2026-01-14 21:54:26
306,car,0,196,2026-01-14 21:54:26
307,car,0,197,2026-01-14 21:54:26
308,truck,0,197,2026-01-14 21:54:26
309,car,0,197,2026-01-14 21:54:26
310,car,0,198,2026-01-14 21:54:26
311,car,0,198,2026-01-14 21:54:26
312,car,0,198,2026-01-14 21:54:26
313,car,0,198,2026-01-14 21:54:26
314,car,0,199,2026-01-14 21:54:26
315,car,0,199,2026-01-14 21:54:26
316,car,0,199,2026-01-14 21:54:26
317,car,0,199,2026-01-14 21:54:26
318,car,0,200,2026-01-14 21:54:26
319,car,0,200,2026-01-14 21:54:26
320,car,0,200,2026-01-14 21:54:26
321,car,0,200,2026-01-14 21:54:26
322,car,0,200,2026-01-14 21:54:26
323,car,0,201,2026-01-14 21:54:26
324,car,0,201,2026-01-14 21:54:26
325,car,0,201,2026-01-14 21:54:26
326,car,0,201,2026-01-14 21:54:26
327,truck,0,201,2026-01-14 21:54:26
328,car,0,201,2026-01-14 21:54:26
329,car,0,201,2026-01-14 21:54:26
330,car,0,201,2026-01-14 21:54:26
331,car,0,202,2026-01-14 21:54:26
332,car,0,202,2026-01-14 21:54:26
333,car,0,202,2026-01-14 21:54:26
334,car,0,202,2026-01-14 21:54:26
335,car,0,202,2026-01-14 21:54:26
336,car,0,202,2026-01-14 21:54:26
337,car,0,203,2026-01-14 21:54:26
338,car,0,203,2026-01-14 21:54:26
339,car,0,205,2026-01-14 21:54:27
340,truck,0,206,2026-01-14 21:54:27
341,car,0,207,2026-01-14 21:54:27
342,car,0,207,2026-01-14 21:54:27
343,car,0,209,2026-01-14 21:54:27
344,car,0,210,2026-01-14 21:54:27
345,car,0,211,2026-01-14 21:54:27
346,car,0,213,2026-01-14 21:54:28
347,bus,0,213,2026-01-14 21:54:28
348,car,0,213,2026-01-14 21:54:28
349,car,0,213,2026-01-14 21:54:28
350,car,0,214,2026-01-14 21:54:28
351,car,0,216,2026-01-14 21:54:28
352,car,0,219,2026-01-14 21:54:28
353,car,0,219,2026-01-14 21:54:28
354,car,0,219,2026-01-14 21:54:28
355,car,0,220,2026-01-14 21:54:28
356,car,0,220,2026-01-14 21:54:28
357,car,0,221,2026-01-14 21:54:29
358,car,0,221,2026-01-14 21:54:29
359,car,0,221,2026-01-14 21:54:29
360,car,0,222,2026-01-14 21:54:29
361,car,0,222,2026-01-14 21:54:29
362,car,0,223,2026-01-14 21:54:29
363,car,0,224,2026-01-14 21:54:29
364,car,0,224,2026-01-14 21:54:29
365,car,0,225,2026-01-14 21:54:29
366,car,0,225,2026-01-14 21:54:29
367,car,0,225,2026-01-14 21:54:29
368,car,0,226,2026-01-14 21:54:29
369,car,0,229,2026-01-14 21:54:30
370,car,0,231,2026-01-14 21:54:30
371,car,0,232,2026-01-14 21:54:30
372,car,0,233,2026-01-14 21:54:30
373,car,0,233,2026-01-14 21:54:30
374,car,0,233,2026-01-14 21:54:30
375,car,0,233,2026-01-14 21:54:30
376,car,0,2717,2026-01-14 21:58:20
377,car,0,2717,2026-01-14 21:58:20
378,car,0,2723,2026-01-14 21:58:20
379,car,0,2723,2026-01-14 21:58:20
380,car,0,2725,2026-01-14 21:58:20
381,car,0,2726,2026-01-14 21:58:20
382,car,0,2727,2026-01-14 21:58:21
383,car,0,2728,2026-01-14 21:58:21
384,car,0,2729,2026-01-14 21:58:21
385,car,0,2735,2026-01-14 21:58:21
386,car,0,2743,2026-01-14 21:58:22
387,car,0,2747,2026-01-14 21:58:23
388,car,0,2748,2026-01-14 21:58:23
389,bus,0,2752,2026-01-14 21:58:23
390,car,0,2753,2026-01-14 21:58:23
391,car,0,2756,2026-01-14 21:58:23
392,car,0,2759,2026-01-14 21:58:24
393,car,0,2761,2026-01-14 21:58:24
394,car,0,2764,2026-01-14 21:58:24
395,car,0,2773,2026-01-14 21:58:25
396,car,0,2777,2026-01-14 21:58:25
397,car,0,2786,2026-01-14 21:58:26
398,car,0,2789,2026-01-14 21:58:26
399,car,0,2794,2026-01-14 21:58:27
400,car,0,2798,2026-01-14 21:58:27
401,car,0,2803,2026-01-14 21:58:28
402,car,0,2805,2026-01-14 21:58:28
403,car,0,2808,2026-01-14 21:58:28
